ACT_SEGREG,AREA_HA,AREA_M2,ARROJO_RR1,ARROJO_RR_,CANT_RRSS,CATEGORIA,CRIANZA_AN,DEN_BOT,DEPARTAMEN,DISTRITO,ESTE,Index,M_ADM_BOT,M_DISP_RRS,NORTE,PERIMETRO,PROVINCIA,QUEMA_BASU,ZONA
No,0.73745873,7374.58728076,No,No,"0,5",Recuperación,No,Botadero S/N,Arequipa,Punta de Bombón,204263.0,203,Municipalidad distrital de Punta de Bombon,Municipalidad distrital de Punta de Bombon,8100319.0,380.92208742,Islay,No,19
No,1.52056357,15205.6356794,No,No,"1,1",Recuperación,No,Botadero S/N,Arequipa,Cocachacra,206931.0,217,Municipalidad distrital de Cocachacra,Municipalidad distrital de Cocachacra,8109532.0,780.88244414,Islay,No,19
Si,0.59420154,5942.01537489,No,No,"1,5",Recuperación,No,Botadero S/N,Arequipa,Islay,811192.0,218,Municipalidad distrital de Islay,Municipalidad distrital de Islay,8121627.0,337.84120427,Islay,No,18
No,0.0674183572694,674.183572694,No,No,No precisa,Recuperación,No,Botadero Cari Cari,Arequipa,Tauria,691786.0,23,MUNICIPALIDAD DISTRITAL TAURIA,Municipal distrital de Tauria,8298020.0,102.722210121,La Union,No,18
No,0.08350981,835.09805115,No,No,No Precisa,Recuperación,No,Botadero Municipal,Arequipa,Charcana,708375.0,630,Municipalidad distrital de Charcana,Municipalidad distrital de Charcana,8316144.0,102.44096646,La Union,No,18
No,0.0627143,627.14302514,No,No,"0,5",Recuperación,No,Botadero S/N,Arequipa,Toro,726527.0,707,Municipalidad distrital de Toro,Municipalidad distrital de Toro,8311946.0,110.63782761,La Union,No,18
No,0.42722781,4272.27813104,No,No,"0,4",Recuperación,No,Botadero S/N,Arequipa,Alca,736124.0,1122,Municipalidad distrital de Alca,"Municipalidad distrital de Alca, Municipalidad distrital de Tomepampa",8324064.0,255.97680299,La Union,No,18
No,0.168227,1682.268697,No,No,0,Recuperación,No,Botadero Pampa de Condormico,Arequipa,Cayma,230429.0,45,Municipalidad distrital de Cayma,Municipalidad distrital de Cayma,8197236.0,188.55976,Arequipa,Si,19
No,0.39962593,3996.25930915,No,No,"0,2",Recuperación,No,Botadero S/N,Arequipa,Quequeña,239956.0,220,Municipalidad distrital de Quequeña,Municipalidad distrital de Quequeña,8167298.0,250.99135125,Arequipa,Si,19
Si,1.93889476,19388.9475707,Si,No,"0,4",Recuperación,No,Botadero S/N,Arequipa,Santa Rita de Siguas,813594.0,221,Municipalidad distrital de Santa Rita de Siguas,Municipalidad distrital de Santa Rita de Siguas,8173260.0,737.41151224,Arequipa,Si,18
No,0.13366841,1336.68410288,No,No,"0,9",Recuperación,No,Botadero S/N (Zona Palca),Arequipa,La Joya,199263.0,224,Municipalidad distrital de La Joya,Municipalidad distrital de La Joya,8184169.0,160.73523007,Arequipa,Si,19
No,0.91870992,9187.09916519,No,No,0,Recuperación,No,Botadero Zorro Negro,Arequipa,Mariano Melgar,237281.0,225,Municipalidad distrital de Chiguata,Municipalidad distrital de Chiguata,8186236.0,400.87218409,Arequipa,Si,19
No,0.2822411,2822.41095468,No,No,0,Recuperación,No,Botadero S/N,Arequipa,Miraflores,235059.0,718,Municipalidad distrital de Miraflores,Municipalidad distrital de Miraflores,8189590.0,293.53478563,Arequipa,Si,19
No,1.14574607,11457.4607268,No,No,0,Recuperación,No,Botadero Huatanay,Arequipa,Alto Selva Alegre,233646.0,737,Municipalidad distrital de Alto Selva Alegre,Municipalidad distrital de Alto Selva Alegre,8190563.0,649.44499694,Arequipa,Si,19
No,0.13821398,1382.13976239,No,No,"0,2",Recuperación,No,Botadero S/N,Arequipa,Santa Isabel de Siguas,812903.0,810,Municipalidad distrital de Santa Isabel de Siguas,Municipalidad distrital de Santa Isabel de Siguas,8198786.0,146.35208248,Arequipa,Si,18
